[2025-12-19 02:08:41] MouseMove: dx=0, dy=13
[2025-12-19 02:08:41] MouseMove: dx=0, dy=14
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=13
[2025-12-19 02:08:41] MouseMove: dx=0, dy=13
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=11
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=5
[2025-12-19 02:08:41] MouseMove: dx=-2, dy=7
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=11
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=15
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=14
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=16
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=10
[2025-12-19 02:08:41] MouseMove: dx=-9, dy=27
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=20
[2025-12-19 02:08:41] MouseMove: dx=-6, dy=30
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=15
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=26
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=32
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=19
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=19
[2025-12-19 02:08:41] MouseMove: dx=0, dy=11
[2025-12-19 02:08:41] MouseMove: dx=0, dy=18
[2025-12-19 02:08:41] MouseMove: dx=0, dy=15
[2025-12-19 02:08:41] MouseMove: dx=1, dy=8
[2025-12-19 02:08:41] MouseMove: dx=6, dy=10
[2025-12-19 02:08:41] MouseMove: dx=3, dy=4
[2025-12-19 02:08:41] MouseMove: dx=3, dy=6
[2025-12-19 02:08:41] MouseMove: dx=3, dy=3
[2025-12-19 02:08:41] MouseMove: dx=1, dy=1
[2025-12-19 02:08:41] MouseMove: dx=1, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:41] MouseMove: dx=0, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-2, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-4, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=0, dy=1
[2025-12-19 02:08:41] MouseMove: dx=1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=2, dy=0
[2025-12-19 02:08:41] MouseMove: dx=3, dy=0
[2025-12-19 02:08:41] MouseMove: dx=2, dy=0
[2025-12-19 02:08:41] MouseMove: dx=1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=0, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-3, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-6, dy=3
[2025-12-19 02:08:41] MouseMove: dx=-10, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-7, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-12, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-10, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-18, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-18, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-23, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=-18, dy=-1
[2025-12-19 02:08:41] MouseMove: dx=-24, dy=-3
[2025-12-19 02:08:41] MouseMove: dx=-13, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-14, dy=-2
[2025-12-19 02:08:42] MouseMove: dx=-10, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-1, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=0
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-7, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-10, dy=-5
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-1
[2025-12-19 02:08:42] MouseMove: dx=-9, dy=-5
[2025-12-19 02:08:42] MouseMove: dx=-11, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=-13, dy=-7
[2025-12-19 02:08:42] MouseMove: dx=-19, dy=-14
[2025-12-19 02:08:42] MouseMove: dx=-12, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=-13, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-19, dy=-16
[2025-12-19 02:08:42] MouseMove: dx=-10, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-20, dy=-23
[2025-12-19 02:08:42] MouseMove: dx=-21, dy=-25
[2025-12-19 02:08:42] MouseMove: dx=-18, dy=-21
[2025-12-19 02:08:42] MouseMove: dx=-12, dy=-15
[2025-12-19 02:08:42] MouseMove: dx=-21, dy=-31
[2025-12-19 02:08:42] MouseMove: dx=-13, dy=-20
[2025-12-19 02:08:42] MouseMove: dx=-18, dy=-27
[2025-12-19 02:08:42] MouseMove: dx=-14, dy=-24
[2025-12-19 02:08:42] MouseMove: dx=-11, dy=-17
[2025-12-19 02:08:42] MouseMove: dx=-7, dy=-12
[2025-12-19 02:08:42] MouseMove: dx=-15, dy=-21
[2025-12-19 02:08:42] MouseMove: dx=-12, dy=-18
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-6
[2025-12-19 02:08:42] MouseMove: dx=-10, dy=-13
